,Date,Time,Crime,Location,Building
899,17/08/2023,20:32,LOST AND FOUND,UTown,YALE RESIDENTIAL COLLEGE 2
900,12/03/2022,3:35,STOLEN ITEMS,CDE,LECTURE THEATRE 7A
901,21/12/2022,4:26,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 3
902,21/05/2022,19:13,LOST AND FOUND,BIZ,SHAW FOUNDATION ALUMNI HOUSE
903,10/01/2023,19:25,LOST AND FOUND,PGP,KE VII HALL (BLOCK A)
904,13/08/2023,10:12,DAMAGED PROPERTY,UTown,CREATE (INNOVATION)
905,18/06/2023,20:29,LOST AND FOUND,CDE,ENGINEERING BLOCK A
906,04/01/2023,6:48,LOST AND FOUND,UTown,CINNAMON COLLEGE -MPH
907,17/08/2022,0:34,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
908,19/05/2023,8:09,DAMAGED PROPERTY,FOS,BRENNER CTR FOR MOLECULAR MED
909,11/12/2022,8:25,DAMAGED PROPERTY,HALL,EUSOFF HALL (COMMUNAL HALL)
910,23/06/2023,14:59,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 25)
911,18/08/2022,2:37,STOLEN ITEMS,FASS,ARTS & SOCIAL SCIENCES BLOCK 3
912,19/06/2022,9:29,EMERGENCY INCIDENTS,PGP,TECH CTR FOR OFFSHORE & MARINE
913,10/06/2022,12:49,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK C)
914,17/06/2022,23:57,STOLEN ITEMS,FASS,LECTURE THEATRE 10
915,29/10/2022,19:42,LOST AND FOUND,KR,11 KR BUNGALOW
916,12/06/2023,23:36,EMERGENCY INCIDENTS,UTown,TEMBUSU COLLEGE- MAIN BLK
917,14/05/2022,19:59,EMERGENCY INCIDENTS,PGP,18 PGP BUNGALOW
918,18/02/2022,0:43,LOST AND FOUND,PGP,8 PGP BUNGALOW
919,24/08/2022,16:02,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 10
920,19/07/2022,6:38,DAMAGED PROPERTY,CDE,DESIGN & ENVIRONMENT BLOCK 2
921,18/08/2022,16:20,LOST AND FOUND,KV,KENT VALE CHILD CARE CENTRE
922,12/12/2022,20:41,DAMAGED PROPERTY,CDE,E6 CARPARK
923,06/01/2023,13:41,SEXUAL INCIDENTS,UTown,YALE RESIDENTIAL COLLEGE 1
924,18/02/2023,23:10,STOLEN ITEMS,UTown,UHALL CARPARK
925,19/06/2023,8:49,LOST AND FOUND,UTown,CREATE (ENTERPRISE)
926,27/07/2022,9:21,LOST AND FOUND,BTC,20 EVANS BUNGALOW
927,10/06/2022,12:33,EMERGENCY INCIDENTS,BTC,BTC-LECTURE THEATRE
928,01/07/2023,10:43,EMERGENCY INCIDENTS,BTC,BTC- MULTIPURPOSE AUDITORIUM
929,26/07/2022,3:52,EMERGENCY INCIDENTS,SOC,COMPUTING BLOCK 2
930,17/05/2023,13:45,DAMAGED PROPERTY,CDE,EL SERVICE RESERVOIRS 1&2
931,27/06/2022,12:11,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK D)
932,09/06/2023,16:22,DAMAGED PROPERTY,UTown,COLLEGE OF A&P TAN -MPH
933,13/08/2022,8:24,LOST AND FOUND,HALL,HOUSE 5
934,09/05/2023,13:01,LOST AND FOUND,FOS,FOS-RICE SHED C-NEXT TO S3&S4
935,20/05/2023,5:52,LOST AND FOUND,FOS,CELS CARPARK
936,18/03/2023,22:24,DAMAGED PROPERTY,PGP,SUB-STATION 4 (NEAR KEVII)
937,31/05/2023,4:33,DAMAGED PROPERTY,CDE,EXPERIMENTAL HOUSE
938,30/08/2022,21:06,LOST AND FOUND,FOS,FOS - SHED B-NEXT TO S3&S4
939,10/09/2022,22:44,EMERGENCY INCIDENTS,BIZ,SHAW FOUNDATION ALUMNI HOUSE
940,19/08/2022,17:38,DAMAGED PROPERTY,PGP,PGP RESIDENCES LECTURE THEATRE
941,23/07/2022,15:11,LOST AND FOUND,KV,"KENT VALE APT GERANIUM BLK, 101"
942,08/07/2023,5:06,DAMAGED PROPERTY,UTown,COLLEGE OF A&P TAN -TOWER
943,28/03/2023,17:52,STOLEN ITEMS,FASS,ARTS & SOCIAL SCIENCES BLOCK 8
944,26/05/2022,3:04,LOST AND FOUND,UTown,COLLEGE OF A&P TAN -TOWER
945,08/01/2023,17:26,STOLEN ITEMS,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
946,18/04/2023,8:53,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 16)
947,30/05/2023,14:02,LOST AND FOUND,PGP,14A PGP BUNGALOW
948,02/01/2023,11:52,LOST AND FOUND,FOS,SCIENCE BLOCK 12
949,02/11/2022,5:57,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 7)
950,01/02/2022,23:30,EMERGENCY INCIDENTS,YIH,UNIVERSITY HEALTH CENTRE
951,26/08/2022,9:39,DAMAGED PROPERTY,KV,SUB-STATION/BIN CENTRE
952,25/03/2022,7:42,EMERGENCY INCIDENTS,HALL,HOUSE 5 ANNEX
953,23/09/2022,18:50,DAMAGED PROPERTY,BIZ,BUSINESS BLOCK 2
954,01/08/2022,7:53,LOST AND FOUND,UTown,CREATE (UTOWN PLAZA)
955,21/07/2023,20:58,LOST AND FOUND,COM,S'PORE SYNCHROTRON LIGHTSOURCE
956,17/10/2023,17:47,STOLEN ITEMS,YIH,SRC MINI GRAND STAND
957,28/07/2023,21:46,EMERGENCY INCIDENTS,UTown,YALE RESIDENTIAL COLLEGE 1
958,27/05/2023,6:10,EMERGENCY INCIDENTS,BTC,BTC-EU TONG SEN
959,31/03/2023,13:48,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK B, 105"
960,20/10/2022,11:01,EMERGENCY INCIDENTS,KV,SUB-STATION/BIN CENTRE
961,13/02/2023,14:05,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK I, 119"
962,15/11/2022,15:30,DAMAGED PROPERTY,BIZ,BUSINESS BLOCK 2
963,24/02/2022,19:15,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK F, 107"
964,05/11/2022,11:43,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
965,24/05/2023,18:11,LOST AND FOUND,YIH,UNIVERSITY HALL
966,20/03/2023,4:09,EMERGENCY INCIDENTS,CDE,LECTURE THEATRE 2
967,14/07/2022,16:57,LOST AND FOUND,KV,"COMMUNAL BLK A, 121"
968,23/01/2022,11:57,SEXUAL INCIDENTS,YIH,SRC MINI GRAND STAND
969,20/09/2023,18:45,LOST AND FOUND,CDE,ENGINEERING BLOCK 4
970,22/06/2022,9:57,DAMAGED PROPERTY,CDE,ENGINEERING WORKSHOP 1A
971,27/02/2022,9:54,LOST AND FOUND,PGP,PGP BUS-STOP (OFFICE)
972,26/10/2022,5:51,EMERGENCY INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 8
973,03/02/2023,8:14,LOST AND FOUND,BIZ,BUSINESS BLOCK 2
974,21/05/2023,20:46,LOST AND FOUND,UTown,YALE RESIDENTIAL COLLEGE 3
975,06/02/2023,7:22,STOLEN ITEMS,FASS,CENTRAL LIBRARY
976,24/07/2023,19:09,EMERGENCY INCIDENTS,PGP,5 PGP BUNGALOW
977,01/05/2023,22:41,STOLEN ITEMS,BTC,BTC-BIN CENTRE
978,30/03/2022,1:47,LOST AND FOUND,HALL,SHEARES HALL (BLOCK E)
979,17/07/2023,16:09,DAMAGED PROPERTY,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
980,18/04/2023,14:07,LOST AND FOUND,CDE,E6 CARPARK
981,18/04/2023,15:03,DAMAGED PROPERTY,CDE,T-LAB CARPARK
982,22/09/2022,13:13,LOST AND FOUND,FOS,SCIENCE BLOCK 9
983,22/06/2022,8:24,LOST AND FOUND,HALL,DECOM SUB-STATION 2 (NEAR TEM HALL)
984,02/08/2022,11:39,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 14
985,12/01/2022,3:42,LOST AND FOUND,FASS,LECTURE THEATRE 10
986,06/10/2022,9:07,LOST AND FOUND,PGP,KE VII HALL (BLOCK G)
987,02/05/2022,18:04,LOST AND FOUND,FOS,FOS-RICE SHED C-NEXT TO S3&S4
988,04/09/2022,2:27,DAMAGED PROPERTY,HALL,HOUSE 5 ANNEX
989,05/09/2022,6:42,STOLEN ITEMS,PGP,9 PGP BUNGALOW
990,01/12/2022,19:27,LOST AND FOUND,KR,2 KR BUNGALOW
991,04/03/2022,4:09,LOST AND FOUND,PGP,INNOVATION 4.0
992,28/05/2022,5:16,DAMAGED PROPERTY,BTC,BTC-BLOCK B
993,08/09/2022,2:49,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 17
994,28/07/2023,13:46,STOLEN ITEMS,FOS,SCIENCE BLOCK 14
995,13/01/2023,1:23,DAMAGED PROPERTY,FOS,SUB-STATION 3 (NEAR S13)
996,07/07/2022,22:23,LOST AND FOUND,KR,6 KR BUNGALOW
997,05/05/2023,17:31,STOLEN ITEMS,FASS,ARTS & SOCIAL SCIENCES BLOCK 6
998,20/08/2022,13:41,EMERGENCY INCIDENTS,KR,11 KR BUNGALOW
999,24/08/2022,18:04,LOST AND FOUND,HALL,TEMASEK HALL (COMMUNAL HALL)
1000,10/04/2023,21:06,STOLEN ITEMS,YIH,MULTI-PURPOSE HALL 5 & 6
1001,11/04/2023,16:46,LOST AND FOUND,FOS,MEDICINE + SCIENCE LIBRARY
1002,12/04/2022,7:05,LOST AND FOUND,BTC,BTC-CJ KOH LIBRARY
1003,08/09/2023,10:46,DAMAGED PROPERTY,SOC,LECTURE THEATRE 19
1004,03/03/2022,18:29,LOST AND FOUND,PGP,18A PGP BUNGALOW
1005,16/06/2023,17:37,EMERGENCY INCIDENTS,HALL,VENTUS (UNI CAMPUS INFRA)
1006,19/06/2022,16:57,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 8)
1007,28/04/2023,18:28,LOST AND FOUND,UTown,RESIDENT COLLEGE 4 -MPH
1008,23/01/2023,17:39,EMERGENCY INCIDENTS,BTC,BTC-MANASSEH MEYER
1009,31/08/2022,23:03,LOST AND FOUND,FOS,BRENNER CTR FOR MOLECULAR MED
1010,06/01/2023,15:21,LOST AND FOUND,CDE,EXPERIMENTAL HOUSE
1011,17/05/2022,12:48,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 30)
1012,08/12/2022,9:56,LOST AND FOUND,FOS,LECTURE THEATRE 28
1013,03/08/2023,8:07,LOST AND FOUND,FOS,SCIENCE BLOCK 5
1014,10/05/2023,15:24,EMERGENCY INCIDENTS,BTC,BTC-BIN CENTRE
1015,04/02/2022,20:18,LOST AND FOUND,HALL,SHEARES HALL (BLOCK C)
1016,03/09/2022,22:31,DAMAGED PROPERTY,FOS,MEDICINE + SCIENCE LIBRARY
1017,06/05/2022,3:04,DAMAGED PROPERTY,HALL,KENT RIDGE HALL (BLOCK E)
1018,02/01/2023,15:49,LOST AND FOUND,HALL,HOUSE 5 ANNEX
1019,11/04/2023,10:17,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 16
1020,27/09/2022,20:11,LOST AND FOUND,CDE,ENGINEERING AUDITORIUM
1021,17/03/2023,20:34,DAMAGED PROPERTY,BTC,18 EVANS BUNGALOW
1022,27/07/2023,18:21,EMERGENCY INCIDENTS,PGP,KE VII HALL (COMMUNAL HALL)
1023,21/07/2023,19:53,LOST AND FOUND,CDE,LECTURE THEATRE 3
1024,09/07/2023,23:10,EMERGENCY INCIDENTS,FOS,LT 27 (LIM SENG TJOE LECTURE)
1025,13/02/2023,5:47,LOST AND FOUND,UTown,SRC CARPARK
1026,18/10/2022,11:01,LOST AND FOUND,FOS,BRENNER CTR FOR MOLECULAR MED
1027,08/06/2023,23:47,EMERGENCY INCIDENTS,CDE,T-LAB CARPARK
1028,08/11/2022,23:37,LOST AND FOUND,FOS,LT 27 (LIM SENG TJOE LECTURE)
1029,25/01/2023,17:08,DAMAGED PROPERTY,FOS,MEDICINE BLOCK 2
1030,05/07/2022,22:19,STOLEN ITEMS,HALL,TEMASEK HALL (BLOCK C)
1031,16/02/2023,19:28,LOST AND FOUND,KV,"KENT VALE APARTMENT BLK H, 117"
1032,06/03/2022,20:47,LOST AND FOUND,HMKT,HENG MUI KENG TERRACE BLOCK B
1033,10/06/2022,10:27,SEXUAL INCIDENTS,CDE,DESIGN & ENVIRONMENT BLOCK 2
1034,21/05/2022,17:52,LOST AND FOUND,KV,SUB-STATION/BIN CENTRE
1035,19/11/2022,4:01,LOST AND FOUND,CDE,DESIGN & ENVIRONMENT BLOCK 2
1036,16/07/2022,10:22,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 4
1037,30/05/2023,5:22,EMERGENCY INCIDENTS,SOC,DATA-CENTRE-NUS HIGH SCHOOL
1038,25/05/2022,4:19,EMERGENCY INCIDENTS,COM,S'PORE SYNCHROTRON LIGHTSOURCE
1039,18/05/2022,13:50,STOLEN ITEMS,PGP,PGP RESIDENCES LECTURE THEATRE
1040,11/05/2022,23:41,LOST AND FOUND,PGP,17 PGP BUNGALOW
1041,13/03/2022,17:49,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK E)
1042,04/02/2023,20:33,EMERGENCY INCIDENTS,PGP,18 PGP BUNGALOW
1043,09/07/2023,1:01,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 20)
1044,30/03/2023,5:42,DAMAGED PROPERTY,HALL,SHEARES HALL (BLOCK A)
1045,23/10/2022,21:55,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK F, 107"
1046,25/01/2022,8:55,LOST AND FOUND,UTown,UTOWN RESIDENCE SOUTH-TOWER
1047,04/09/2022,2:24,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 27)
1048,20/02/2023,5:15,EMERGENCY INCIDENTS,HALL,SHEARES HALL (BLOCK A)
1049,19/05/2022,18:18,LOST AND FOUND,KR,3 KR BUNGALOW
1050,19/07/2023,7:27,EMERGENCY INCIDENTS,BIZ,NUS SOCIETY-GUILD HOUSE
1051,03/11/2022,4:49,DAMAGED PROPERTY,UTown,YALE ADMINISTRATION BLOCK
1052,17/07/2022,7:12,DAMAGED PROPERTY,BIZ,NUS ENTERPRISE-JTC BLK71
1053,19/02/2022,8:51,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK B, 105"
1054,29/07/2022,14:31,EMERGENCY INCIDENTS,PGP,KE VII HALL (BLOCK E)
1055,24/09/2022,21:20,EMERGENCY INCIDENTS,HALL,TEMASEK HALL (BLOCK A)
1056,27/04/2022,11:29,DAMAGED PROPERTY,UTown,CINNAMON COLLEGE -MPH
1057,01/04/2022,19:54,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK H, 117"
1058,09/05/2023,21:25,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 15
1059,04/09/2023,12:27,LOST AND FOUND,CDE,DESIGN & ENVIRONMENT BLOCK 2
1060,23/04/2023,6:49,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 1A
1061,25/08/2022,15:47,DAMAGED PROPERTY,YIH,RIDGE VIEW RESIDENCE (BLOCK E)
1062,29/11/2022,5:23,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 1)
1063,07/10/2023,15:21,DAMAGED PROPERTY,UTown,YALE FITNESS CENTER
1064,31/03/2022,18:28,DAMAGED PROPERTY,BTC,BTC-EU TONG SEN
1065,09/11/2022,19:44,EMERGENCY INCIDENTS,BTC,BTC-MANASSEH MEYER
1066,19/08/2023,8:52,LOST AND FOUND,PGP,7 PGP BUNGALOW
1067,11/07/2022,6:49,EMERGENCY INCIDENTS,HALL,KENT RIDGE HALL (BLOCK B)
1068,21/07/2023,19:39,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 16)
1069,26/03/2022,17:16,LOST AND FOUND,BTC,BTC-OEI TIONG HAM
1070,22/10/2022,10:24,DAMAGED PROPERTY,BTC,BTC-EU TONG SEN
1071,10/08/2022,3:57,DAMAGED PROPERTY,UTown,YALE FITNESS CENTER
1072,05/12/2022,17:01,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK E)
1073,26/11/2022,22:28,DAMAGED PROPERTY,HALL,HOUSE 5 ANNEX
1074,02/02/2022,21:08,DAMAGED PROPERTY,FOS,CANTEEN 4 (FRONTIER)
1075,16/07/2022,4:31,LOST AND FOUND,FOS,SCIENCE BLOCK 1
1076,05/04/2022,3:33,LOST AND FOUND,BTC,BTC-CAFE
1077,20/09/2023,12:53,LOST AND FOUND,BIZ,SHAW FOUNDATION ALUMNI HOUSE
1078,28/07/2022,7:03,DAMAGED PROPERTY,BTC,18 EVANS BUNGALOW
1079,20/11/2022,7:16,LOST AND FOUND,FOS,SCIENCE BLOCK 16
1080,15/05/2022,6:40,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 10)
1081,08/02/2023,17:34,DAMAGED PROPERTY,HALL,EUSOFF HALL (BLOCK E)
1082,07/06/2023,16:22,LOST AND FOUND,CDE,EL SERVICE RESERVOIRS 1&2
1083,14/04/2022,4:54,LOST AND FOUND,UTown,YALE WEST CORE
1084,25/02/2022,20:33,DAMAGED PROPERTY,UTown,CINNAMON COLLEGE -MPH
1085,12/07/2022,3:23,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 17)
1086,08/09/2023,0:12,DAMAGED PROPERTY,UTown,RESIDENT COLLEGE 4
1087,22/08/2022,22:18,LOST AND FOUND,CDE,ENGINEERING BLOCK 7
1088,09/01/2023,7:40,DAMAGED PROPERTY,SOC,COMPUTING BLOCK 3
1089,27/06/2023,23:44,DAMAGED PROPERTY,FOS,MEDICINE + SCIENCE LIBRARY
1090,23/07/2022,5:58,EMERGENCY INCIDENTS,PGP,14 PGP BUNGALOW
1091,20/07/2022,21:58,LOST AND FOUND,FOS,CANTEEN 4 (FRONTIER)
1092,03/11/2022,7:51,LOST AND FOUND,PGP,KE VII HALL (COMMUNAL HALL)
1093,11/06/2023,16:08,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES (BLOCK 18)
1094,14/02/2022,21:43,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 17)
1095,31/01/2023,11:11,EMERGENCY INCIDENTS,HALL,DECOM SUB-STATION 2 (NEAR TEM HALL)
1096,25/07/2022,21:29,LOST AND FOUND,HMKT,HENG MUI KENG TERRACE BLOCK B
1097,14/10/2023,19:52,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK I, 119"
1098,22/10/2023,20:09,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK C)
1099,17/07/2022,15:53,DAMAGED PROPERTY,PGP,2 PGP BUNGALOW
1100,08/09/2022,8:03,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 16
1101,23/07/2022,2:16,LOST AND FOUND,COM,S'PORE SYNCHROTRON LIGHTSOURCE
1102,27/11/2022,5:19,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES LECTURE THEATRE
1103,23/02/2023,1:24,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 24)
1104,08/08/2023,23:27,DAMAGED PROPERTY,PGP,PGP RESIDENCES (BLOCK 18)
1105,17/09/2023,1:12,LOST AND FOUND,YIH,RAFFLES HALL (BLOCK A)
1106,13/03/2022,17:18,DAMAGED PROPERTY,FOS,SUB-STATION 3 (NEAR S13)
1107,03/06/2023,18:09,LOST AND FOUND,PGP,PGP RESIDENCES LECTURE THEATRE
1108,03/03/2022,18:18,EMERGENCY INCIDENTS,BTC,BTC-CJ KOH LIBRARY
1109,26/04/2023,22:04,DAMAGED PROPERTY,CDE,CTR FOR ENGLISH LANGUAGE COMMUNICATION
1110,17/08/2023,4:29,DAMAGED PROPERTY,YIH,RAFFLES HALL (BLOCK E)
1111,08/05/2023,9:17,LOST AND FOUND,FOS,CANTEEN 4 (FRONTIER)
1112,10/05/2022,0:10,EMERGENCY INCIDENTS,KR,2 KR BUNGALOW
1113,30/04/2023,6:17,DAMAGED PROPERTY,HALL,EUSOFF HALL (BLOCK B)
1114,17/02/2022,17:18,EMERGENCY INCIDENTS,YIH,SRC MINI GRAND STAND
1115,14/02/2023,15:44,LOST AND FOUND,HALL,TEMASEK HALL (BLOCK A)
1116,24/07/2022,10:45,DAMAGED PROPERTY,HALL,KENT RIDGE HALL (BLOCK A)
1117,07/03/2022,23:51,DAMAGED PROPERTY,PGP,PGP BUS-STOP (OFFICE)
1118,03/10/2023,3:19,LOST AND FOUND,CDE,TEMASEK LAB
1119,14/09/2022,21:10,DAMAGED PROPERTY,HALL,EUSOFF HALL (COMMUNAL HALL)
1120,17/12/2022,8:55,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 18
1121,26/04/2022,1:30,EMERGENCY INCIDENTS,PGP,PGP BUS-STOP (OFFICE)
1122,22/10/2022,6:48,LOST AND FOUND,PGP,PGP RESIDENCES (BLOCK 30)
1123,30/04/2023,12:46,SEXUAL INCIDENTS,DNMS,DNMS CARPARK
1124,09/01/2022,4:10,DAMAGED PROPERTY,FOS,LT 27 (LIM SENG TJOE LECTURE)
1125,26/10/2022,13:49,DAMAGED PROPERTY,CDE,TEMASEK LAB
1126,24/12/2022,11:37,STOLEN ITEMS,YIH,UNIVERSITY HALL
1127,10/05/2023,10:22,EMERGENCY INCIDENTS,UTown,CREATE (UTOWN PLAZA)
1128,23/08/2022,23:38,DAMAGED PROPERTY,SOC,DATA-CENTRE-NUS HIGH SCHOOL
1129,12/07/2023,17:26,DAMAGED PROPERTY,FOS,LECTURE THEATRE 37
1130,18/08/2023,5:56,EMERGENCY INCIDENTS,YIH,UNIVERSITY HALL
1131,18/02/2023,12:17,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK G, 115"
1132,15/10/2022,18:54,EMERGENCY INCIDENTS,PGP,PGP BUS-STOP (OFFICE)
1133,03/02/2022,6:52,DAMAGED PROPERTY,FOS,NUHS TOWER BLOCK
1134,23/06/2022,4:19,LOST AND FOUND,PGP,TEMASEK LIFE SCIENCE LAB
1135,04/02/2023,3:11,STOLEN ITEMS,FOS,SCIENCE BLOCK 2
1136,06/09/2022,4:40,LOST AND FOUND,PGP,KE VII HALL (BLOCK D)
1137,04/08/2023,10:09,LOST AND FOUND,KR,11 KR BUNGALOW
1138,11/04/2023,1:04,SEXUAL INCIDENTS,PGP,PGP RESIDENCES (BLOCK 10)
1139,26/07/2023,22:58,LOST AND FOUND,BTC,BTC-SUB-STATION
1140,06/08/2022,5:29,EMERGENCY INCIDENTS,PGP,14A PGP BUNGALOW
1141,24/03/2022,4:21,LOST AND FOUND,HALL,HOUSE 5
1142,15/12/2022,23:06,EMERGENCY INCIDENTS,HALL,KENT RIDGE (COMMUNAL HALL)
1143,17/03/2023,20:28,STOLEN ITEMS,BIZ,HON SUI SEN MEMORIAL LIBRARY
1144,14/09/2023,9:55,EMERGENCY INCIDENTS,PGP,7 PGP BUNGALOW
1145,22/08/2022,13:45,LOST AND FOUND,CDE,ENGINEERING BLOCK 5
1146,22/01/2022,7:24,DAMAGED PROPERTY,CDE,ENGINEERING BLOCK 4
1147,03/03/2022,22:22,LOST AND FOUND,UTown,EDUCATION RESOURCE CENTRE
1148,11/07/2023,1:54,EMERGENCY INCIDENTS,CDE,ENGINEERING BLOCK 2A (EDIC)
1149,04/10/2023,22:48,LOST AND FOUND,PGP,14A PGP BUNGALOW
1150,05/01/2022,10:28,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 6
1151,18/02/2023,16:20,SEXUAL INCIDENTS,KR,9 KR BUNGALOW
1152,06/07/2023,11:21,DAMAGED PROPERTY,KR,12 KR BUNGALOW
1153,17/12/2022,10:58,EMERGENCY INCIDENTS,FASS,LECTURE THEATRE 12
1154,18/12/2022,2:49,EMERGENCY INCIDENTS,HALL,SHEARS HALL/KENT RIDGE HALL SHARED SPACE
1155,18/07/2023,1:31,LOST AND FOUND,FASS,FASS BLK7 (SHAW FDN BLDG)
1156,08/07/2023,7:23,DAMAGED PROPERTY,HALL,EUSOFF HALL (BLOCK C)
1157,15/09/2022,6:18,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK A)
1158,20/03/2023,5:12,DAMAGED PROPERTY,HALL,EUSOFF HALL (BLOCK D)
1159,24/07/2023,8:52,DAMAGED PROPERTY,FASS,CENTRAL STORAGE LIBRARY ANNEX
1160,27/09/2023,22:56,LOST AND FOUND,FOS,CELS CARPARK
1161,03/05/2022,7:32,EMERGENCY INCIDENTS,FOS,LT 27 (LIM SENG TJOE LECTURE)
1162,05/04/2023,1:11,EMERGENCY INCIDENTS,FOS,SCIENCE BLOCK 4A
1163,07/09/2023,20:50,EMERGENCY INCIDENTS,PGP,PGP RESIDENCES RESTAURANT
1164,14/10/2023,18:46,LOST AND FOUND,HALL,KENT RIDGE HALL (BLOCK A)
1165,21/05/2023,13:34,LOST AND FOUND,UTown,YALE SPORTS HALL
1166,21/06/2023,22:27,EMERGENCY INCIDENTS,KV,"KENT VALE APARTMENT BLK A,103"
1167,07/07/2022,15:12,DAMAGED PROPERTY,KV,"KENT VALE APARTMENT BLK G, 115"
1168,20/06/2022,2:35,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK A)
1169,29/08/2022,16:53,LOST AND FOUND,FOS,MEDICINE BLOCK 2
1170,06/05/2022,14:09,LOST AND FOUND,CDE,EXPERIMENTAL HOUSE
1171,07/04/2022,5:26,LOST AND FOUND,BTC,BTC-LECTURE THEATRE
1172,17/04/2023,0:19,EMERGENCY INCIDENTS,SOC,LECTURE THEATRE 14
1173,11/07/2023,16:34,EMERGENCY INCIDENTS,FASS,ARTS & SOCIAL SCIENCES BLOCK 6
1174,03/04/2022,10:03,LOST AND FOUND,HALL,EUSOFF HALL (BLOCK E)
1175,22/06/2023,21:00,LOST AND FOUND,SOC,COMPUTING BLOCK 3
1176,19/07/2023,11:58,DAMAGED PROPERTY,PGP,8 PGP BUNGALOW
1177,23/04/2023,16:36,STOLEN ITEMS,FOS,SCIENCE BLOCK 15
1178,29/01/2023,19:44,DAMAGED PROPERTY,FOS,LECTURE THEATRE 36 (ALICE AND PETER TAN)
1179,09/03/2023,11:33,SEXUAL INCIDENTS,PGP,3 PGP BUNGALOW
1180,18/01/2023,10:37,LOST AND FOUND,KR,14 KR BUNGALOW
1181,02/10/2022,20:39,STOLEN ITEMS,FOS,LECTURE THEATRE 34
1182,13/09/2022,20:48,EMERGENCY INCIDENTS,UTown,YALE SPORTS HALL
1183,29/09/2023,19:17,DAMAGED PROPERTY,UTown,EDUCATION RESOURCE CENTRE
1184,14/09/2022,10:51,DAMAGED PROPERTY,FOS,SCIENCE BLOCK 1A (LEE WEE KENG)
1185,04/11/2022,16:50,STOLEN ITEMS,CDE,EL SERVICE RESERVOIRS 1&2
1186,17/05/2023,16:44,SEXUAL INCIDENTS,KR,10 KR BUNGALOW
1187,24/08/2022,3:58,EMERGENCY INCIDENTS,UCC,LKC NATURAL HISTORY MUSEUM
1188,21/10/2022,22:19,DAMAGED PROPERTY,UTown,UTOWN RESIDENCE SOUTH-TOWER
1189,24/03/2022,9:21,LOST AND FOUND,PGP,PGP RESIDENCES MPH
1190,04/05/2023,3:58,DAMAGED PROPERTY,UTown,STEPHEN RIADY CENTRE
1191,05/11/2022,2:30,LOST AND FOUND,FASS,ARTS & SOCIAL SCIENCES BLOCK 2
1192,11/01/2022,17:02,LOST AND FOUND,SOC,LECTURE THEATRE 15
1193,03/11/2022,2:22,DAMAGED PROPERTY,PGP,KE VII HALL (BLOCK B)
1194,09/10/2023,7:25,LOST AND FOUND,PGP,14 PGP BUNGALOW
